Evoked Response
seconds	EEG	Trigger
86.412	-0.00483199010299797	-0.000147850149602236
86.414	-0.00563189847119341	-0.000102181673602241
86.416	-0.00612118700140497	-5.75641023346936E-5
86.418	-0.00625907426869049	-2.01798679168494E-5
86.42	-0.00605426941430447	5.66900611331425E-6
86.422	-0.0055569883732326	1.78428377480995E-5
86.424	-0.00484896397634656	1.61117729377462E-5
86.426	-0.00403139662818817	1.66376193125208E-6
86.428	-0.00321084132760756	-2.33568040279097E-5
86.43	-0.00248439957380171	-5.61549850798254E-5
86.432	-0.00192706087318254	-9.34849444409544E-5
86.434	-0.00158419952351782	-0.000131877957692437
86.436	-0.00147042213223047	-0.000167986504376961
86.438	-0.00157317525267535	-0.000199018199699782
86.44	-0.00185798195855704	-0.000223146127687583
86.442	-0.0022732886542693	-0.000239765900459193
86.444	-0.00275547213628986	-0.00024951489184707
86.446	-0.00323575686817378	-0.000254042922219213
86.448	-0.0036492916292974	-0.000255591425956489
86.45	-0.00394405434665035	-0.000256469156311343
86.452	-0.00408630775307843	-0.000258498879585695
86.454	-0.00406106532337816	-0.00026249847905289
86.456	-0.00386895257751879	-0.000267912726628917
86.458	-0.00352253400103962	-0.000272786219537657
86.46	-0.00304458386099147	-0.000274227836952357
86.462	-0.00246877640730916	-0.000269318873933215
86.464	-0.00184140977218372	-0.000256188227914994
86.466	-0.00122223239993435	-0.000234875107624777
86.468	-0.000683251669198479	-0.000207669553733887
86.47	-0.000305226465874012	-0.000178805471618195
86.472	-0.000171167961481549	-0.000153584450168968
86.474	-0.000355336186243384	-0.000137156299366646
86.476	-0.000906937064749527	-0.000133255980124351
86.478	-0.00183090553604582	-0.000143217813753429
86.48	-0.00307225747214576	-0.000165551354374629
86.482	-0.00451228612285658	-0.000196229055440452
86.484	-0.00598198404117847	-0.000229606406412876
86.486	-0.00729131640002928	-0.000259662750541038
86.488	-0.00826612586924524	-0.000281153080145018
86.49	-0.00878125995266334	-0.000290366131156141
86.492	-0.00878015244176913	-0.000285393966399516
86.494	-0.00827633037197544	-0.000265971225466519
86.496	-0.00733909126478112	-0.000233027201154498
86.498	-0.00607155658823246	-0.000188193814121314
86.5	-0.00459154206515401	-0.000133566304344233
86.502	-0.00302205851232665	-7.18755914445373E-5
86.504	-0.00149048672906161	-6.93663729857219E-6
86.506	-0.000129195012763961	5.60059250431885E-5
86.508	0.000929951014661627	0.0001104562709723
86.51	0.00156988700588843	0.000149619075517076
86.512	0.00170828272346452	0.000168020387808163
86.514	0.00131655260336621	0.000163267965720961
86.516	0.000431636895465734	0.000137183620964188
86.518	-0.000843139966159336	9.5727054249228E-5
86.52	-0.00234912441826431	4.76576948668599E-5
86.522	-0.00389431260325296	2.39100791221926E-6
86.524	-0.00528300930098839	-3.22692813343153E-5
86.526	-0.00634721078466438	-5.18994927979134E-5
86.528	-0.00697247479259625	-5.63121802180521E-5
86.53	-0.00711273694783611	-4.93544889651923E-5
86.532	-0.00679213372619201	-3.77697589218522E-5
86.534	-0.00609516395677775	-2.94565439783908E-5
86.536	-0.00514855524569629	-1.16247990272218E-5
86.538	-0.00409909712220826	0.000245249821829191
86.54	-0.00309137969896626	0.00205271279097609
86.542	-0.00224823955560737	0.0101100237149082
86.544	-0.00165590144337563	0.0365418221070311
86.546	-0.00135563456942708	0.105466169206224
86.548	-0.0013432331782717	0.255262309740349
86.55	-0.00157607919419464	0.535251843882996
86.552	-0.00198554103713403	0.994886983514145
86.554	-0.00249116961883337	1.66655410427761
86.556	-0.00301329972467936	2.54668244880922
86.558	-0.00348207885548871	3.58213879631227
86.56	-0.00384254884777467	4.66829636286046
86.562	-0.00405626789496469	5.66167881146749
86.564	-0.00410047248946638	6.40526731918452
86.566	-0.00396669210084732	6.76042351490829
86.568	-0.00366132032929054	6.6373263791072
86.57	-0.00320928039007448	6.01627541885867
86.572	-0.00265851327798268	4.95474699286502
86.574	-0.00208016572789764	3.57875888042375
86.576	-0.00156033255890617	2.06081411377843
86.578	-0.00118420779989647	0.58954246281917
86.58	-0.00101862583175833	-0.662421489744116
86.582	-0.00109990716300175	-1.56593104022345
86.584	-0.00143007766395271	-2.05327996839454
86.586	-0.00197936284676662	-2.12403631400063
86.588	-0.00269074603315684	-1.83876942646912
86.59	-0.0034848385341795	-1.30297464900054
86.592	-0.00426738255071923	-0.645078207605169
86.594	-0.00494256843447222	0.00694457557683264
86.596	-0.00543152452997153	0.546083566406727
86.598	-0.00569049457994765	0.900717784322093
86.6	-0.00572177954571585	1.04121568810375
86.602	-0.00557311295042135	0.978587950909212
86.604	-0.00532533129383831	0.756486626998926
86.606	-0.00507167133079246	0.438838842690283
86.608	-0.00489390391338816	0.0958531619655163
86.61	-0.00484101764956384	-0.208961574552569
86.612	-0.00491568747525523	-0.428676178127044
86.614	-0.00507223523591109	-0.538471564498226
86.616	-0.00522709885618366	-0.536510305751583
86.618	-0.00527948817370333	-0.440696406623804
86.62	-0.00513687259339651	-0.282505454097036
86.622	-0.00473822341415342	-0.0994014006460609
86.624	-0.00406860035528257	0.0726249364484345
86.626	-0.00316220068348988	0.205113477370465
86.628	-0.00209576107421673	0.280945866164498
86.63	-0.000976949749890344	0.295587837735039
86.632	6.85234672096543E-5	0.255939208960514
86.634	0.000910116588861574	0.177359463553252
86.636	0.00142686106664418	0.0796695147181776
86.638	0.00152371712143403	-0.0170129173357287
86.64	0.00114887783840823	-0.0958490093167956
86.642	0.00030839044840464	-0.145729260696938
86.644	-0.000927454541313019	-0.162341775681891
86.646	-0.00243065510006708	-0.147883306761948
86.648	-0.00403547528011804	-0.109672244773038
86.65	-0.00556708214329919	-0.0580756554428938
86.652	-0.0068707860161563	-0.00421958972932246
86.654	-0.00783413828704943	0.0420821178636825
86.656	-0.00839717974365662	0.0738505144794463
86.658	-0.00855010998601338	0.0877325174640906
86.66	-0.00832131672345993	0.0840335826758633
86.662	-0.00776142148663828	0.0661026310724801
86.664	-0.00692996460227709	0.0392766395542083
86.666	-0.00588964150839545	0.00963786354293899
86.668	-0.00470878397186503	-0.0171692302929385
86.67	-0.00346803097241631	-0.0368626447098399
86.672	-0.00226455318417174	-0.0470663465182861
86.674	-0.0012082738290633	-0.0474355916609389
86.676	-0.000408511942235439	-0.0394062482391559
86.678	4.6055420964857E-5	-0.0256698686335512
86.68	0.000108530020627523	-0.00950879484415508
86.682	-0.000209970921969895	0.00587051633084732
86.684	-0.000834184720734969	0.0178887584552747
86.686	-0.00163244949638546	0.0249507233108291
86.688	-0.00243920082323124	0.026575111244181
86.69	-0.00308848205499374	0.0233090398772562
86.692	-0.0034503991751437	0.0164749019857146
86.694	-0.00346108025895479	0.00781942222836622
86.696	-0.00313889025421201	-0.000858522551375053
86.698	-0.00258348828672542	-0.00803251663974828
86.7	-0.00195764322927543	-0.0126756388304387
86.702	-0.00145430060362725	-0.0143647391403739
86.704	-0.00125424429486174	-0.0132623171180419
86.706	-0.00148286913357784	-0.00999793382311096
86.708	-0.00217652130519621	-0.00548547492748582
86.71	-0.00326780817035095	-0.000718335684392224
86.712	-0.0045947700010337	0.00341796628364634
86.714	-0.00593229843052211	0.00628539095497683
86.716	-0.00703836861811122	0.00756793321033615
86.718	-0.00770452775006344	0.00727802337356401
86.72	-0.00779973651271305	0.00570415354752771
86.722	-0.00729823802889225	0.00331797243585307
86.724	-0.00628518915357087	0.000663334393146139
86.726	-0.00493827510642468	-0.00175052990927572
