Evoked Response
seconds	EEG
18.068	-4.67936
18.07	-4.68224
18.072	-4.67584
18.074	-4.67776
18.076	-4.67456
18.078	-4.67392
18.08	-4.67136
18.082	-4.67936
18.084	-4.68032
18.086	-4.67968
18.088	-4.68064
18.09	-4.67968
18.092	-4.68256
18.094	-4.67936
18.096	-4.67776
18.098	-4.67968
18.1	-4.68032
18.102	-4.68544
18.104	-4.68384
18.105	-4.6832
18.107	-4.68384
18.109	-4.6816
18.111	-4.68096
18.113	-4.68064
18.115	-4.68416
18.117	-4.68256
18.119	-4.68288
18.121	-4.6832
18.123	-4.68288
18.125	-4.6832
18.127	-4.68288
18.129	-4.68512
18.131	-4.68448
18.133	-4.68224
18.135	-4.68288
18.137	-4.6832
18.139	-4.68224
18.141	-4.6848
18.143	-4.68704
18.145	-4.68736
18.146	-4.68704
18.148	-4.68672
18.15	-4.68928
18.152	-4.68352
18.154	-4.68448
18.156	-4.68128
18.158	-4.68256
18.16	-4.68544
18.162	-4.68832
18.164	-4.68768
18.166	-4.68608
18.168	-4.68768
18.17	-4.68704
18.172	-4.68576
18.174	-4.68736
18.176	-4.68352
18.178	-4.68512
18.18	-4.68736
18.182	-4.68928
18.184	-4.68576
18.186	-4.68864
18.188	-4.68864
18.189	-4.6832
18.191	-4.68512
18.193	-4.68448
18.195	-4.6832
18.197	-4.68608
18.199	-4.68576
18.201	-4.68832
18.203	-4.68992
18.205	-4.68736
18.207	-4.68544
18.209	-4.6848
18.211	-4.68448
18.213	-4.6864
18.215	-4.6848
18.217	-4.68256
18.219	-4.68448
18.221	-4.68608
18.223	-4.68448
18.225	-4.68288
18.227	-4.68736
18.229	-4.68896
18.23	-4.68256
18.232	-4.68288
18.234	-4.68512
18.236	-4.68032
18.238	-4.68096
18.24	-4.68416
18.242	-4.68736
18.244	-4.68384
18.246	-4.68896
18.248	-4.68832
18.25	-4.68704
18.252	-4.68224
18.254	-4.6848
18.256	-4.68704
18.258	-4.68512
18.26	-4.6848
18.262	-4.6896
18.264	-4.68768
18.266	-4.68704
18.268	-4.68768
18.27	-4.68992
18.271	-4.68544
18.273	-4.68
18.275	-4.68
18.277	-4.68064
18.279	-4.68256
18.281	-4.68736
18.283	-4.68512
18.285	-4.68832
18.287	-4.68736
18.289	-4.68416
18.291	-4.6832
18.293	-4.68192
18.295	-4.68416
18.297	-4.68096
18.299	-4.67904
18.301	-4.68352
18.303	-4.68448
18.305	-4.68416
18.307	-4.68576
18.309	-4.68064
18.311	-4.68352
18.313	-4.68576
18.314	-4.6848
18.316	-4.68128
18.318	-4.68256
18.32	-4.68576
18.322	-4.68608
18.324	-4.68672
18.326	-4.6912
18.328	-4.68448
18.33	-4.68288
18.332	-4.68256
18.334	-4.68672
18.336	-4.68576
18.338	-4.68576
18.34	-4.68544
18.342	-4.68768
18.344	-4.68544
18.346	-4.68832
18.348	-4.68896
18.35	-4.69088
18.352	-4.68736
18.354	-4.68832
18.355	-4.68992
18.357	-4.68896
18.359	-4.68544
18.361	-4.688
18.363	-4.68672
18.365	-4.68576
18.367	-4.68672
18.369	-4.68384
18.371	-4.68384
18.373	-4.68832
18.375	-4.68448
18.377	-4.67968
18.379	-4.68096
18.381	-4.6848
18.383	-4.68512
18.385	-4.68416
18.387	-4.6864
18.389	-4.68512
18.391	-4.68448
18.393	-4.68064
18.395	-4.68256
18.396	-4.68288
18.398	-4.68096
18.4	-4.68032
18.402	-4.68544
18.404	-4.68448
18.406	-4.68512
18.408	-4.68576
18.41	-4.688
18.412	-4.68544
18.414	-4.6864
18.416	-4.68864
18.418	-4.68768
18.42	-4.6864
18.422	-4.68864
18.424	-4.68832
18.426	-4.68928
18.428	-4.69056
18.43	-4.69024
18.432	-4.68896
18.434	-4.68576
18.436	-4.68544
18.438	-4.68768
18.439	-4.68544
18.441	-4.6896
18.443	-4.68832
18.445	-4.68736
18.447	-4.68768
18.449	-4.68768
